Author,Format,ID,Name,Pages,Publisher,Publishing_Date,Rating
David Farland,Hardcover,2599.0,The Lair of Bones: The Fourth Book of The Runelords,480.0,Tor Books,2005-2-1,3.8
Fujino Omori,Paperback,2600.0,"Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Chronicle, Vol. 1 (light novel): Episode Lyu (Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Chronicle (light novel))",176.0,Yen On,2018-5-22,
Jennifer Rose McMahon,Kindle,2601.0,Rockfleet (The Pirate Queen) (Volume 0),200.0,CreateSpace Independent Publishing Platform,2017-9-21,5.0
Elliott James,Hardcover,2602.0,Legend Has It (Pax Arcana),448.0,Orbit,2017-4-18,4.4
Sam Sykes,Paperback,2603.0,God's Last Breath (Bring Down Heaven),704.0,Orbit,2017-12-5,4.4
David Gemmell,Kindle,2604.0,"The Legend of Deathwalker (Drenai Tales, Book 7)",376.0,Del Rey,1999-5-1,4.8
David Gemmell,Paperback,2605.0,"The First Chronicles of Druss the Legend (Drenai Tales, Book 6)",334.0,Del Rey,,4.7
L. E. Modesitt Jr.,Paperback,2606.0,Arms-Commander (Saga of Recluce),736.0,Tor Fantasy,2011-3-1,4.4
Orson Scott Card,Paperback,2607.0,"Prentice Alvin (Tales of Alvin Maker, Book 3)",342.0,Tor Fantasy,1989-12-15,4.4
Margaret Weis,Paperback,2608.0,"The Hand of Chaos (Death Gate Cycle, Book 5)",496.0,Bantam Spectra,1993-11-1,4.4
Andrzej Sapkowski,Paperback,2609.0,Season of Storms (The Witcher),464.0,Orbit,2018-11-6,
J. R. R. Tolkien,Paperback,2610.0,"The Lays of Beleriand (The History of Middle-Earth, Vol. 3)",480.0,Del Rey,1994-8-29,4.4
George R. R. Martin,Paperback,2611.0,Tormenta de espadas (Spanish Edition),1184.0,Vintage Espanol,2012-7-10,4.7
Max Gladstone,Kindle,2612.0,Full Fathom Five: A Novel of the Craft Sequence,384.0,Tor Books,2015-4-14,4.5
Vivian Shaw,Paperback,2613.0,Dreadful Company (A Dr. Greta Helsing Novel),400.0,Orbit,2018-7-31,
James A. Moore,Paperback,2614.0,Fallen Gods: Tides of War Book II,400.0,Angry Robot,2018-1-2,4.4
Various,Kindle,2615.0,"Star Wars - The New Jedi Order, Books 1-3",,Del Rey,2003-11-4,4.7
Richard Baker,Kindle,2616.0,"Condemnation (Forgotten Realms: R.A. Salvatore's War of the Spider Queen, Book 3)",375.0,Wizards of the Coast,2004-5-1,4.2
R. Anthony Giamusso,Hardcover,2617.0,Under a Veil of Gods,316.0,BHC Press/Indigo,2018-3-8,
Chris Claremont,Hardcover,2618.0,"Shadow Star (Chronicles of the Shadow War, Book 3)",544.0,Spectra,2000-10-3,3.8
David Guymer,Hardcover,2619.0,Kinslayer (Gotrek & Felix),416.0,Games Workshop,2016-8-9,2.7
Chris Claremont,Kindle,2620.0,"Shadow Dawn (Chronicles of the Shadow War, Book 2)",528.0,Spectra,1998-3-2,4.0
L. E. Modesitt Jr.,Kindle,2621.0,"Colors of Chaos (Saga of Recluce, Book 9)",816.0,Tor Fantasy,2000-1-15,4.2
Richelle Mead,Hardcover,2622.0,Thorn Queen (Dark Swan),384.0,Zebra,2011-6-1,4.4
Rachel Morgan,Paperback,2623.0,Glass Faerie (Creepy Hollow) (Volume 7),306.0,Rachel Morgan,2017-4-11,4.7
David Eddings,Hardcover,2624.0,Crystal Gorge: Book Three of The Dreamers,560.0,Grand Central Publishing,2006-8-1,3.6
Karen Miller,Kindle,2625.0,"The Awakened Mage: Kingmaker, Kingbreaker: Book 2",712.0,Orbit,2007-10-1,3.8
L. E. Modesitt Jr.,Kindle,2626.0,Heritage of Cyador (Saga of Recluce),640.0,Tor Fantasy,2015-11-3,4.6
George R. R. Martin,Kindle,2627.0,Festín de cuervos (Spanish Edition),880.0,Vintage Espanol,2012-7-24,4.6
Rachel Morgan,Kindle,2628.0,Rebel Faerie (Creepy Hollow) (Volume 9),384.0,Rachel Morgan,2017-12-13,4.7
Piers Anthony,Kindle,2629.0,Wielding a Red Sword (Book Four of Incarnations of Immortality),313.0,Ballantine Books,1987-11-12,4.3
Pam Brondos,Hardcover,2630.0,Gateway to Fourline (The Fourline Trilogy),295.0,Skyscape,2015-12-1,4.3
David Gemmell,Paperback,2631.0,Ghost King (The Stones of Power),304.0,Del Rey,1995-11-29,4.3
Chris Wooding,Kindle,2632.0,Retribution Falls (Tales of the Ketty Jay),480.0,Spectra,2011-4-26,4.4
Jody Lynn Nye,Hardcover,2633.0,Robert Asprin's Myth-Fits (Myth-Adventures),320.0,Ace,2016-6-7,4.7
K. J. Parker,Paperback,2634.0,3: The Two of Swords: Volume Three,416.0,Orbit,2017-12-12,5.0
David Gemmell,Hardcover,2635.0,Wolf in Shadow (The Stones of Power: Jon Shannow Trilogy),336.0,Del Rey,1996-12-28,4.5
A. Lee Martinez,Hardcover,2636.0,Divine Misfortune,336.0,Orbit,2011-4-1,4.3
David Gemmell,Kindle,2637.0,Stormrider (Rigante),512.0,Del Rey,2003-3-4,4.2
David Gemmell,Hardcover,2638.0,"The King Beyond the Gate (Drenai Tales, Book 2)",320.0,Del Rey,1994-12-28,4.2
Kat Richardson,Hardcover,2639.0,"Greywalker (Greywalker, Book 1)",352.0,Ace,2009-6-2,3.8
Dave Morris,Paperback,2640.0,Over the Blood-Dark Sea (Fabled Lands) (Volume 3),230.0,Fabled Lands Publishing,2017-3-15,4.2
Mercedes Lackey,Kindle,2641.0,"Oathbreakers (Vows and Honor, Book 2)",320.0,DAW,1989-1-3,4.8
Patricia Briggs,Kindle,2642.0,"Raven's Shadow (The Raven Duology, Book 1)",352.0,Ace,2004-7-27,4.5
Michael Moorcock,Kindle,2643.0,Corum - The Knight of Swords: The Eternal Champion,240.0,Titan Books,2015-5-5,4.3
K. J. Parker,Kindle,2644.0,The Two of Swords: Volume One,512.0,Orbit,2017-10-17,3.7
Patricia Briggs,Hardcover,2645.0,"Dragon Blood (The Hurog Duology, Book 2)",288.0,Ace,2002-12-31,4.6
Piers Anthony,Paperback,2646.0,"Blue Adept (The Apprentice Adept, Book 2)",336.0,Del Rey,1987-8-12,4.6
Sam Sykes,Hardcover,2647.0,The Mortal Tally (Bring Down Heaven),688.0,Orbit,2016-3-29,4.6
Kate Elliott,Paperback,2648.0,Cold Steel (The Spiritwalker Trilogy),624.0,Orbit,2013-6-25,4.3
Piers Anthony,Kindle,2649.0,"Night Mare (The Magic of Xanth, No. 6)",320.0,Del Rey,1982-0-0,4.4
Callie Bates,Paperback,2650.0,The Waking Land,432.0,Del Rey,2018-1-2,3.9
N. K. Jemisin,Kindle,2651.0,The Broken Kingdoms (The Inheritance Trilogy),432.0,Orbit,2011-9-1,4.4
Dorothy Hearst,Hardcover,2652.0,Promise of the Wolves: A Novel (The Wolf Chronicles),368.0,Simon & Schuster,2009-7-7,4.5
Steven Erikson,Paperback,2653.0,The Wurms of Blearmouth: A Malazan Tale of Bauchelain and Korbal Broach (Malazan Book of the Fallen),208.0,Tor Books,2014-7-8,4.3
Melanie Rawn,Hardcover,2654.0,"Stronghold (Dragon Star, Book 1)",592.0,DAW,1991-9-3,4.5
Max McCoy,Hardcover,2655.0,Indiana Jones and the Secret of the Sphinx,197.0,Bantam,,4.0
Victor Gischler,Paperback,2656.0,A Painted Goddess (A Fire Beneath the Skin),400.0,47North,2016-3-15,4.4
Melanie Rawn,Kindle,2657.0,"The Dragon Token (Dragon Star, Book 2)",656.0,DAW,1993-2-1,4.5
Margaret Weis,Paperback,2658.0,"Amber and Blood: The Dark Disciple, Volume Three (v. 3)",352.0,Wizards of the Coast,2008-11-4,4.0
Kate Griffin,Hardcover,2659.0,A Madness of Angels (Matthew Swift),640.0,Orbit,2010-2-1,4.1
Luke Chmilenko,Paperback,2660.0,Hell to Pay (An Ascend Online Adventure) (Volume 1),410.0,Ætherworld Productions,2017-5-1,4.3
Patrick Weekes,Paperback,2661.0,The Paladin Caper (Rogues of the Republic),465.0,47North,2015-10-27,4.6
Adrian Tchaikovsky,Paperback,2662.0,The Bear and the Serpent (Echoes of the Fall),544.0,Pan Macmillan,2017-11-1,4.3
David Gemmell,Paperback,2663.0,"Midnight Falcon (The Rigante Series, Book 2)",448.0,Del Rey,2001-5-1,4.4
Gail Z Martin,Hardcover,2664.0,Scourge: A Darkhurst Novel,400.0,Solaris,2017-7-11,4.8
Margaret Weis,Paperback,2665.0,The Second Generation,434.0,Wizards of the Coast,1984-1-31,4.2
Patricia Briggs,Paperback,2666.0,Wolfsbane (Sianim),304.0,Ace,2010-11-2,4.5
Richelle Mead,Kindle,2667.0,"Iron Crowned (Dark Swan, Book 3)",384.0,Zebra,2011-3-1,3.7
K. J. Parker,Paperback,2668.0,The Two of Swords: Volume Two,432.0,Orbit,2017-11-14,
Tim Powers,Hardcover,2669.0,The Drawing of the Dark: A Novel (Del Rey Impact),323.0,Del Rey,1999-11-16,4.3
Alan Smale,Hardcover,2670.0,Clash of Eagles: The Clash of Eagles Trilogy Book I,464.0,Del Rey,2015-9-1,4.0
Michael Ende,Paperback,2671.0,The Neverending Story,384.0,Penguin Books,1984-7-20,4.6
David Petersen,Paperback,2672.0,Mouse Guard: Fall 1152 (Mouse Guard (Paperback)),200.0,Villard,2008-3-25,4.6
J.R.R. Tolkien,Hardcover,2673.0,"The Shaping of Middle-Earth: The Quenta, the Ambarkanta and the Annals (The History of Middle-Earth, Vol. 4)",480.0,Del Rey,1995-10-30,4.5
David Farland,Paperback,2674.0,Sons of the Oak: The Fifth Book of The Runelords,416.0,Tor Fantasy,2007-8-28,3.8
Lisa Shearin,Paperback,2675.0,The Ghoul Vendetta (A SPI Files Novel),304.0,Ace,2017-1-31,4.5
Victor Gischler,Hardcover,2676.0,The Tattooed Duchess (A Fire Beneath the Skin),359.0,47North,2015-10-6,4.3
Cassandra Rose Clarke,Kindle,2677.0,Magic of Blood and Sea: The Assassin's Curse; The Pirate's Wish,544.0,Saga Press,2017-2-7,4.3
Tim Severin,Hardcover,2678.0,Odinn's Child: The Heroes of the North Live On (Viking Trilogy),400.0,Pan Macmillan,2005-9-1,3.6
Michael Talbot,Hardcover,2679.0,The Delicate Dependency,382.0,Valancourt Books,2014-7-1,4.8
Margaret Weis,Kindle,2680.0,"Doom of the Darksword (The Darksword Trilogy, Vol. 2)",416.0,Spectra,1988-5-1,4.4
Mitchell Hogan,Paperback,2681.0,Blood of Innocents: Book Two of the Sorcery Ascendant Sequence,592.0,Harper Voyager,2016-2-2,4.2
E.E. Knight,Paperback,2682.0,Dragon Strike: Book Four of the Age of Fire,384.0,Ace,2012-3-6,4.3
David Gemmell,Hardcover,2683.0,Last Guardian (The Stones of Power: Jon Shannow Trilogy),304.0,Del Rey,1997-5-28,4.4
David Eddings,Kindle,2684.0,The Redemption of Althalus,791.0,"Ballantine Books, Inc.",2001-11-12,3.7
Django Wexler,Paperback,2685.0,The Shadow Throne (The Shadow Campaigns),624.0,Ace,2015-6-2,3.9
L. E. Modesitt Jr.,Paperback,2686.0,Darksong Rising: The Third Book of the Spellsong Cycle,512.0,Tor Fantasy,2001-1-15,4.0
K. C. Herbel,Kindle,2687.0,The Innkeeper's Son: The Jester King Fantasy Series: Book One (Volume 1),314.0,Epic Books Press,2017-6-26,4.5
A. Lee Martinez,Kindle,2688.0,Monster,352.0,Orbit,2010-2-1,4.0
Ed Greenwood,Paperback,2689.0,Spellstorm (Forgotten Realms),321.0,Wizards of the Coast,2016-5-3,3.7
Stan Nicholls,Paperback,2690.0,Orcs,769.0,Orbit,2008-9-8,3.2
Michael Moorcock,Kindle,2691.0,The Eternal Champion: The Eternal Champion Sequence 1,240.0,Titan Books,2014-11-4,3.7
David Gemmell,Paperback,2692.0,White Wolf: A Novel of Druss the Legend (Drenai Saga: The Damned),480.0,Del Rey,2004-3-2,4.6
Robert Jordan,Paperback,2693.0,The Great Hunt: Book Two of 'The Wheel of Time',656.0,Tor Books,2012-6-5,4.7
Daniel Abraham,Kindle,2694.0,A Shadow in Summer: Book One of The Long Price Quartet,384.0,Tor Fantasy,2007-7-31,3.5
Richard K. Morgan,Kindle,2696.0,The Steel Remains (A Land Fit for Heroes),448.0,Del Rey,2010-1-12,3.7
H. Rider Haggard,Kindle,2697.0,She (Penguin Classics),368.0,Penguin Classics,2001-10-1,3.9
John Joseph Adams,Kindle,2698.0,Dead Man's Hand: An Anthology of the Weird West,464.0,Titan Books,2014-5-13,4.4
Emily R. King,Hardcover,2699.0,The Warrior Queen (The Hundredth Queen Series),,Skyscape,2018-8-14,
Charles Stross,Kindle,2700.0,The Revolution Trade: A Merchant Princes Omnibus,576.0,Tor Books,2015-1-27,3.9
David Farland,Hardcover,2701.0,Worldbinder: The Sixth Book of the Runelords,384.0,Tor Fantasy,2008-7-29,3.9
N. K. Jemisin,Paperback,2702.0,The Kingdom of Gods (The Inheritance Trilogy),592.0,Orbit,2012-4-1,4.1
Bernard Werber,Kindle,2703.0,Empire of the Ants,320.0,Bantam,1999-2-2,4.2
Mercedes Lackey,Paperback,2704.0,"Oathblood (Vows and Honor, Book 3)",400.0,DAW,1998-4-1,4.5
Steven Brust,Kindle,2705.0,The Book of Taltos (Jhereg),400.0,Ace,2002-1-8,4.4
Erin M. Evans,Paperback,2706.0,Brimstone Angels: Lesser Evils: A Forgotten Realms Novel,388.0,Wizards of the Coast,2012-12-4,4.5
Raymond E. Feist,Paperback,2707.0,Faerie Tale,496.0,Voyager,1989-11-15,4.4
Stephen R. Donaldson,Paperback,2708.0,"The Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever, Book 3)",512.0,Del Rey,1987-10-12,4.1
Patricia Briggs,Hardcover,2709.0,"Dragon Bones (The Hurog Duology, Book 1)",304.0,Ace,2002-2-26,4.6
Steve McHugh,Kindle,2710.0,Born of Hatred (The Hellequin Chronicles),480.0,47North,2013-9-17,4.6
Cavanaugh James Welch,Hardcover,2711.0,FEAR.DEATH.BY.SWORD,341.0,Independently published,2018-2-6,5.0
Kate Elliott,Paperback,2712.0,Cold Magic (The Spiritwalker Trilogy),624.0,Orbit,2011-8-1,4.0
Aaron Hodges,Hardcover,2713.0,The Sword of Light: The Complete Trilogy,934.0,Aaron Hodges,2017-2-14,4.4
Richard K. Morgan,Kindle,2714.0,The Dark Defiles (A Land Fit for Heroes),656.0,Del Rey,2014-10-7,4.2
Margaret Weis,Kindle,2715.0,"Amber and Ashes (Dragonlance: The Dark Disciple, Vol. 1) (v. 1)",352.0,Wizards of the Coast,2005-7-1,4.0
Steve McHugh,Paperback,2716.0,Lies Ripped Open (The Hellequin Chronicles),528.0,47North,2015-8-25,4.7
Rachel Neumeier,Kindle,2717.0,Winter of Ice and Iron,576.0,Saga Press,2017-11-21,3.8
Patricia Briggs,Hardcover,2718.0,"Steal the Dragon (Sianim, No. 2)",275.0,Ace,1995-11-1,4.5
John Twelve Hawks,Hardcover,2719.0,The Golden City: Book Three of the Fourth Realm Trilogy,358.0,Vintage,2010-6-29,3.7
Michelle Sagara,Paperback,2720.0,Cast in Courtlight (The Chronicles of Elantra),448.0,MIRA,2018-1-23,4.6
David Hair,Paperback,2721.0,Ascendant's Rite (The Moontide Quartet),848.0,Jo Fletcher Books,2016-10-4,4.8
Brian McClellan,Paperback,2722.0,War Cry,112.0,Tor.com,2018-8-28,
Jim C. Hines,Hardcover,2723.0,Goblin Quest,352.0,DAW,2006-11-7,4.5
Lynn Flewelling,Hardcover,2724.0,Shards of Time (Nightrunner),432.0,Del Rey,2014-4-1,4.5
Lisa Shearin,Paperback,2725.0,"All Spell Breaks Loose (Raine Benares, Book 6)",304.0,Ace,2012-5-29,4.6
N. K. Jemisin,Paperback,2726.0,The Shadowed Sun (Dreamblood),517.0,Orbit,2012-6-12,4.6
Mitchell Hogan,Kindle,2727.0,A Crucible of Souls: Book One of the Sorcery Ascendant Sequence,512.0,Harper Voyager,2015-9-22,4.2
Douglas Hulick,Paperback,2728.0,Sworn in Steel (Tale of the Kin),432.0,Ace,2014-5-6,4.6
C.S. Friedman,Hardcover,2729.0,Legacy of Kings: Book Three of the Magister Trilogy,512.0,DAW,2012-9-4,4.5
Christopher Stasheff,Hardcover,2730.0,Her Majesty's Wizard (A Wizard in Rhyme),342.0,Del Rey,1986-9-12,4.1
Joseph A. McCullough,Kindle,2731.0,Frostgrave: Into the Breeding Pits,64.0,Osprey Publishing,2016-7-19,4.2
Carrie Vaughn,Hardcover,2732.0,Kitty Saves the World: A Kitty Norville Novel,336.0,Tor Books,2015-8-4,4.8
Lynn Flewelling,Paperback,2733.0,"Shadows Return (Nightrunner, Bk. 4)",544.0,Spectra,2008-6-24,4.3
L. E. Modesitt Jr.,Paperback,2734.0,The Shadow Sorceress (The Spellsong Cycle #4),544.0,Tor Fantasy,2002-5-19,4.5
Mercedes Lackey,Paperback,2735.0,"Storm Warning (The Mage Storms, Book 1)",432.0,DAW,1995-9-1,4.4
David Gemmell,Hardcover,2736.0,"Quest for Lost Heroes (Drenai Tales, Book 3)",304.0,Del Rey,1995-5-31,4.4
A. Lee Martinez,Kindle,2737.0,Helen and Troy's Epic Road Quest,368.0,Orbit,2013-7-16,4.4
Elliott Baker,Kindle,2738.0,The Sun God's Heir: Redemption (Book Three),380.0,Hypatia Press,2017-10-18,4.9
Anne McCaffrey,Hardcover,2739.0,"Powers That Be (Petaybee, Book 1)",384.0,Del Rey,1994-5-1,4.4
Francesca Haig,Kindle,2740.0,The Fire Sermon,384.0,Gallery Books,2016-2-2,3.8
Annette Marie,Paperback,2741.0,The Shadow Weave (Spell Weaver) (Volume 2),314.0,Dark Owl Fantasy Inc.,2018-1-12,4.6
R.A. Salvatore,Kindle,2742.0,Echoes of the Fourth Magic (Chronicles of Ynis Aielle),352.0,Del Rey,1998-9-28,3.8
Simon R. Green,Kindle,2743.0,Just Another Judgement Day (A Nightside Book),272.0,Ace,2009-12-29,4.3
L. E. Modesitt Jr.,Paperback,2744.0,Natural Ordermage (Saga of Recluce),624.0,Tor Fantasy,2008-4-29,4.6
David Weber,Kindle,2745.0,The Sword of the South (War God (Weber)),784.0,Baen,2017-1-31,4.4
Elizabeth Moon,Hardcover,2746.0,Crown of Renewal (Legend of Paksenarrion),512.0,Del Rey,2015-2-24,4.3
G.A. Aiken,Kindle,2747.0,Light My Fire (Dragon Kin),496.0,Zebra,2014-11-25,4.8
David Gemmell,Paperback,2748.0,"In the Realm of the Wolf (Drenai Tales, Book 5)",320.0,Del Rey,1998-4-29,4.8
Terry Brooks,Paperback,2749.0,The Voyage of the Jerle Shannara (3 Volumes Set),,Del Rey,2003-8-26,4.3
Sherwood Smith,Kindle,2750.0,"The Fox (Inda, Book 2)",784.0,DAW,2008-7-1,4.4
Graham Austin-King,Paperback,2751.0,Faithless,404.0,Fallen Leaf Press,2017-6-30,4.3
Joseph A. McCullough,Paperback,2752.0,Frostgrave: Forgotten Pacts,64.0,Osprey Games,2016-11-22,4.6
Patricia Briggs,Kindle,2753.0,The Hob's Bargain,288.0,Ace,2001-3-1,4.5
Shelly Laurenston,Kindle,2754.0,Wolf with Benefits (The Pride Series),400.0,Kensington,2015-6-30,4.6
J.R.R. Tolkien,Paperback,2755.0,"The Lost Road and Other Writings (The History of Middle-Earth, Vol. 5)",512.0,Del Rey,1996-9-30,4.4
James A. Moore,Paperback,2756.0,"The Blasted Lands: Seven Forges, Book II",400.0,Angry Robot,2014-6-24,4.1
Stephen Aryan,Kindle,2757.0,Chaosmage (Age of Darkness),480.0,Orbit,2016-10-11,4.0
Piers Anthony,Paperback,2758.0,"Golem in the Gears (The Magic of Xanth, Book 9)",327.0,Del Rey,1986-1-12,4.5
Jon Skovron,Kindle,2759.0,Bane and Shadow (The Empire of Storms),544.0,Orbit,2017-2-28,4.3
Gale Leach,Hardcover,2760.0,The Disappearance: Book One of The Rift Chronicles (Volume 1),474.0,Two Cats Press,2017-11-10,5.0
Alexander Gordon,Kindle,2761.0,Chronicles of Eden - Act I,355.0,Independently published,2016-12-9,2.7
Patrick Rothfuss,Hardcover,2762.0,El temor de un hombre sabio: Cronicas del asesin de reyes: Segundo dia (Spanish Edition),1200.0,Vintage Espanol,2014-2-4,4.7
Paul S. Kemp,Kindle,2763.0,A Conversation in Blood: An Egil & Nix Novel,288.0,Del Rey,2017-8-1,4.7
John Norman,Paperback,2764.0,Tarnsman of Gor (Gorean Saga),188.0,Open Road Media Sci-Fi & Fantasy,2014-5-13,4.0
Michael A. Stackpole,Kindle,2765.0,Talion: Revenant,467.0,Spectra,1997-3-31,4.6
John Ko,Kindle,2766.0,The Fate: Book 1: Tournament Wysteria (Volume 1),518.0,IDealSoul Stories,2016-1-10,4.7
David Gemmell,Paperback,2767.0,The Swords of Night and Day: A Novel of Druss the Legend and Skilgannon the Damned (Drenai Saga: The Damned),512.0,Del Rey,2005-3-1,4.5
L. E. Modesitt Jr.,Paperback,2768.0,Fall of Angels (Saga of Recluce),608.0,Tor Fantasy,1997-7-15,4.7
Simon R. Green,Hardcover,2769.0,"Agents of Light and Darkness (Nightside, Book 2)",240.0,Ace,2003-10-28,4.3
Elizabeth Moon,Kindle,2770.0,Echoes of Betrayal: Paladin's Legacy (Legend of Paksenarrion),496.0,Del Rey,2013-4-30,4.4
C. J. Cherryh,Paperback,2771.0,Precursor (Foreigner),464.0,DAW,2000-10-1,4.7
Max McCoy,Kindle,2772.0,Indiana Jones and the Dinosaur Eggs,304.0,Bantam,1996-2-1,4.4
James Bennett,Paperback,2773.0,Burning Ashes (A Ben Garston Novel),400.0,Orbit,2018-11-13,
Jamie Thomson,Kindle,2774.0,The Plains of Howling Darkness (Fabled Lands) (Volume 4),250.0,Fabled Lands Publishing,2017-3-15,5.0
Max McCoy,Paperback,2775.0,Indiana Jones and the Philosopher's Stone,304.0,Bantam,1995-4-1,4.1
Running Press,Paperback,2776.0,Game of Thrones: Longclaw Collectible Sword (Miniature Editions),64.0,Running Press Miniature Editions,2015-10-20,4.4
Douglas Hirt,Kindle,2777.0,Flight to Eden (Cradleland Chronicles),512.0,David C. Cook,2004-11-18,4.7
Kate Griffin,Hardcover,2778.0,The Midnight Mayor (Matthew Swift),592.0,Orbit,2011-2-1,3.9
David Gemmell,Hardcover,2779.0,"Sword in the Storm (The Rigante Series, Book 1)",439.0,Del Rey,2001-1-30,4.3
G.A. Aiken,Paperback,2780.0,"Dragon Actually (Dragon Kin, Book 1)",352.0,Zebra,2008-9-1,4.5
William King,Hardcover,2781.0,Gotrek & Felix: The Second Omnibus (Warhammer),768.0,Games Workshop,2008-6-25,4.5
Mercedes Lackey,Paperback,2782.0,"Aerie (The Dragon Jousters, Book 4)",448.0,DAW,2007-10-2,4.1
John Bellairs,Paperback,2783.0,The Face in the Frost,162.0,Open Road Media Sci-Fi & Fantasy,2014-9-30,4.1
Patricia Briggs,Paperback,2784.0,Masques,320.0,Ace,2010-9-28,4.3
John Birmingham,Kindle,2785.0,Emergence: Dave vs. the Monsters (David Hooper Trilogy),416.0,Del Rey,2015-4-28,4.1
Katie Macalister,Paperback,2786.0,Sparks Fly: A Novel of the Light Dragons,352.0,Berkley,2012-5-1,4.4
Michael J. Ward,Kindle,2787.0,The Heart of Fire: DestinyQuest Book 2,752.0,Gollancz,2018-3-6,5.0
R.A. Salvatore,Hardcover,2788.0,Mortalis (The DemonWars Saga),576.0,Del Rey,2001-4-3,4.0
Sarah Beth Durst,Paperback,2789.0,The Queen of Blood: Book One of The Queens of Renthia,416.0,Harper Voyager,2017-4-25,4.4
Peter McLean,Hardcover,2790.0,Priest of Bones (War for the Rose Throne),352.0,Ace,2018-10-2,
Margaret Weis,Paperback,2791.0,"Fire Sea (The Death Gate Cycle, Vol. 3)",432.0,Spectra,1992-2-1,4.6
Tiffany Tsao,Hardcover,2792.0,The More Known World (The Oddfits Series),300.0,AmazonCrossing,2017-12-19,4.5
E. T. A. Hoffmann,Paperback,2793.0,The Nutcracker and Mouse King (Fantasy and Horror Classics),102.0,Fantasy and Horror Classics,2015-10-16,4.2
Elizabeth Moon,Kindle,2794.0,Limits of Power (Legend of Paksenarrion),512.0,Del Rey,2014-4-29,4.6
S. E. Smith,Paperback,2796.0,Star's Storm: Lords of Kassis,293.0,Montana Publishing,2015-11-20,4.5
David Hair,Kindle,2797.0,Unholy War (Moontide Quartet),688.0,Jo Fletcher Books,2016-8-2,4.5
Edgar Rice Burroughs,Kindle,2798.0,Tarzan of the Apes,190.0,Digireads.com,2016-1-4,4.0
Rob Thurman,Paperback,2799.0,Blackout (Cal Leandros),352.0,Ace,2011-3-1,4.3
Max McCoy,Kindle,2800.0,Indiana Jones and the Hollow Earth,336.0,Bantam,1997-2-3,3.8
Vasily Mahanenko,Hardcover,2801.0,Survival Quest (The Way of the Shaman Book #1),425.0,Magic Dome Books,2017-4-15,4.6
Margaret Weis,Hardcover,2802.0,"Forging the Darksword: The Darksword Trilogy, Volume 1",400.0,Spectra,1987-12-1,3.8
David Dalglish,Hardcover,2803.0,Cloak and Spider (Shadowdance),110.0,CreateSpace Independent Publishing Platform,2014-7-24,4.4
Robert Jordan,Hardcover,2804.0,Lord of Chaos,944.0,Tor Books,2012-1-1,4.5
Elliott James,Hardcover,2805.0,In Shining Armor (Pax Arcana),464.0,Orbit,2016-4-26,4.6
Neal Stephenson,Kindle,2806.0,King of the Vagabonds: The Baroque Cycle #2,400.0,HarperTorch,2006-2-28,4.1
Jim C. Hines,Kindle,2807.0,Goblin War (Goblin Series),352.0,DAW,2008-3-4,4.6
Carrie Vaughn,Hardcover,2808.0,Kitty and the Midnight Hour (Kitty Norville),288.0,Grand Central Publishing,2005-11-1,4.1
William King,Kindle,2809.0,Gotrek & Felix: The First Omnibus (Warhammer),768.0,Games Workshop,2006-8-8,4.6
R.A. Salvatore,Paperback,2810.0,"Transcendence (The Second DemonWars Saga, Book 2)",592.0,Del Rey,2003-4-29,4.4
Margaret Weis,Paperback,2811.0,Into the Labyrinth (A Death Gate Novel),480.0,Spectra,1994-7-1,4.4
William S Bradshaw,Kindle,2812.0,King's Dagger: The Loyalist Book 1,350.0,"Christian Faith Publishing, Inc.",2018-1-2,5.0
D.E. Partridge,Paperback,2813.0,The CLAIMED: The Dimension Chronicles - Book One,183.0,Independently published,2017-12-26,5.0
Tiffany Tsao,Hardcover,2814.0,The Oddfits (The Oddfits Series),256.0,AmazonCrossing,2016-2-1,3.8
Chris Wooding,Kindle,2815.0,The Black Lung Captain (Tales of the Ketty Jay),560.0,Spectra,2011-7-26,4.6
S. E. Smith,Paperback,2816.0,Viper's Defiant Mate: Sarafin Warriors,277.0,Montana Publishing,2015-11-20,4.6
Barb Hendee,Paperback,2818.0,Sister of the Dead (The Noble Dead),416.0,Ace,2005-1-4,4.4
David Farland,Kindle,2819.0,The Wyrmling Horde: The Seventh Book of The Runelords,355.0,Tor Fantasy,2009-9-29,4.2
Alexander Gordon,Paperback,2820.0,Chronicles of Eden - Act XI,626.0,Independently published,2018-1-19,3.9
Karen Miller,Kindle,2821.0,"The Innocent Mage: Kingmaker, Kingbreaker -  Book One",642.0,Orbit,2007-9-1,3.5
Sherwood Smith,Hardcover,2822.0,King's Shield (Inda),704.0,DAW,2009-7-7,4.1
Lior Gavra,Kindle,2823.0,BitterSweet,190.0,Lgavra,2018-1-8,4.9
Elliott Baker,Paperback,2824.0,The Sun God's Heir: Rebirth (BookTwo),356.0,Hypatia Press,2017-4-25,4.6
L. Frank Baum,Hardcover,2825.0,"The Wonderful World of Oz: The Wizard of Oz, The Emerald City of Oz, Glinda of Oz (Classic, 20th-Century, Penguin)",389.0,Penguin Classics,1998-8-1,4.6
Glenda Larke,Hardcover,2826.0,Stormlord Rising,704.0,Orbit,2010-8-1,4.5
